iter	MultiClass
236	0.4487736103
237	0.4483717894
238	0.4482498611
239	0.4481480677
240	0.4480411751
241	0.4476423398
242	0.4474062274
243	0.4473398902
244	0.4472903935
245	0.4471805285
246	0.4470471292
247	0.4469531757
248	0.4468532258
249	0.4468072413
250	0.4467259928
251	0.4466047454
252	0.4465056862
253	0.4463894857
254	0.4462466228
255	0.4461650469
256	0.446017275
257	0.4459248952
258	0.4457637116
259	0.4457168756
260	0.4455853391
261	0.4453433734
262	0.4450751036
263	0.4449449318
264	0.4448618647
265	0.4448018227
266	0.4447106493
267	0.4446339571
268	0.4445100438
269	0.4444377805
270	0.4442944411
271	0.4442238858
272	0.4441010576
273	0.4439659879
274	0.4438837554
275	0.4436563412
276	0.4436090811
277	0.4435203767
278	0.4434393252
279	0.4432298914
280	0.4430896781
281	0.4429473277
282	0.4428568078
283	0.4427615771
284	0.4426034929
285	0.4424601205
286	0.4423605757
287	0.4422380508
288	0.4421848976
289	0.4420618856
290	0.4419785969
291	0.4419151668
292	0.4418213287
293	0.4417537717
294	0.441687193
295	0.4416191752
296	0.4415299852
297	0.4414601438
298	0.4412817426
299	0.4411278181
300	0.4409553072
301	0.4408641146
302	0.4408185294
303	0.4406939378
304	0.4406319706
305	0.4405641667
306	0.440519496
307	0.4404307193
308	0.440333791
309	0.4401857617
310	0.4401293181
311	0.4400681363
312	0.4399379209
313	0.4398160662
314	0.4397322672
315	0.4396726736
316	0.439582785
317	0.4395054667
318	0.4394176926
319	0.4393590735
320	0.4392535055
321	0.4391506645
322	0.4390867446
323	0.4390374692
324	0.4388568639
325	0.4387730119
326	0.4387175693
327	0.4386611022
328	0.4386090383
329	0.4385129767
330	0.4384537298
331	0.43836176
332	0.4382480706
333	0.438212989
334	0.4381752077
335	0.4380854796
336	0.4379726119
337	0.4378811016
338	0.4377519151
339	0.4376175746
340	0.4375140703
341	0.4374724177
342	0.4373551974
343	0.437212942
344	0.4371041582
345	0.4370871784
346	0.4369343519
347	0.4368278306
348	0.4367570565
349	0.4366494036
350	0.4365372875
351	0.4365008039
352	0.4363795165
353	0.4363246249
354	0.4362674753
355	0.4362236327
356	0.4361824341
357	0.4361154942
358	0.4360719045
359	0.4359502861
360	0.4359140092
361	0.4358733242
362	0.4357436081
363	0.4356630101
364	0.4356254252
365	0.4355506604
366	0.4355022343
367	0.4352961839
368	0.4352331009
369	0.4351306291
370	0.4350868976
371	0.4350266439
372	0.4349665342
373	0.4348920438
374	0.4348359667
375	0.4347608666
376	0.43471662
377	0.4345895232
378	0.4345545307
379	0.4344948329
380	0.4343885268
381	0.4342673203
382	0.4342338165
383	0.434145482
384	0.4340939622
385	0.4340379448
386	0.4339567248
387	0.4339345238
388	0.4338953301
389	0.4337810772
390	0.4337444477
391	0.4336689603
392	0.4335506717
393	0.4334150604
394	0.4333775397
395	0.4332998767
396	0.4332002928
397	0.4330701261
398	0.4329938418
399	0.4329380576
